#Z	A	N	Yield	Uncertainty
49	113	64	3.56E-09	1.22E-09
42	114	72	1.27E-12	4.70E-13
43	114	71	5.07E-08	1.87E-08
44	114	70	9.47E-05	3.46E-05
45	114	69	0.0035724	9.80E-04
45	114	69	0.0035724	9.80E-04
46	114	68	0.02412	0.0041275
47	114	67	0.0011285	4.13E-04
47	114	67	0.0047461	0.0017355
48	114	66	1.27E-04	4.64E-05
49	114	65	2.32E-08	8.56E-09
49	114	65	3.44E-08	1.27E-08
49	114	65	3.55E-08	1.31E-08
50	114	64	2.56E-12	9.44E-13
43	115	72	2.10E-09	7.28E-10
44	115	71	8.73E-06	3.03E-06
45	115	70	0.0019868	6.09E-04
46	115	69	0.0057617	8.98E-04
46	115	69	0.010828	0.0016874
47	115	68	0.0013004	3.29E-04
47	115	68	0.0085064	0.0021501
48	115	67	1.20E-04	3.98E-05
48	115	67	3.92E-04	1.30E-04
49	115	66	1.92E-07	6.68E-08
49	115	66	8.32E-07	2.89E-07
50	115	65	8.10E-11	2.82E-11
43	116	73	8.03E-11	2.56E-11
44	116	72	1.06E-06	3.38E-07
45	116	71	1.30E-04	4.04E-05
45	116	71	3.04E-04	9.45E-05
46	116	70	0.010619	0.0022615
47	116	69	0.0033268	6.93E-04
47	116	69	0.0077922	0.0016243
48	116	68	0.0013971	4.01E-04
49	116	67	1.64E-06	5.22E-07
49	116	67	2.44E-06	7.75E-07
49	116	67	2.52E-06	8.01E-07
50	116	66	1.31E-09	4.18E-10
43	117	74	1.97E-12	6.47E-13
44	117	73	5.39E-08	1.77E-08
45	117	72	6.96E-05	2.28E-05
46	117	71	0.0010806	3.04E-04
46	117	71	0.0020308	5.71E-04
47	117	70	0.0011915	1.78E-04
47	117	70	0.007794	0.0011634
48	117	69	5.48E-04	1.43E-04
48	117	69	0.0017917	4.67E-04
49	117	68	4.93E-06	1.60E-06
49	117	68	2.13E-05	6.90E-06
50	117	67	3.11E-09	1.02E-09
50	117	67	1.02E-08	3.35E-09
44	118	74	2.73E-09	8.65E-10
45	118	73	7.15E-06	2.26E-06
46	118	72	9.62E-04	2.88E-04
47	118	71	9.48E-04	1.85E-04
47	118	71	0.0039862	7.79E-04
48	118	70	0.0030344	6.79E-04
49	118	69	2.09E-05	6.36E-06
49	118	69	3.11E-05	9.44E-06
49	118	69	3.21E-05	9.75E-06
50	118	68	1.07E-07	3.38E-08
51	118	67	2.06E-12	6.53E-13
51	118	67	2.92E-12	9.26E-13
44	119	75	6.21E-11	2.06E-11
45	119	74	5.33E-07	1.76E-07
46	119	73	1.41E-04	4.61E-05
47	119	72	2.78E-04	6.65E-05
47	119	72	0.0018154	4.35E-04
48	119	71	6.62E-04	1.41E-04
48	119	71	0.0015978	3.40E-04
49	119	70	2.97E-05	8.97E-06
49	119	70	1.28E-04	3.88E-05
50	119	69	1.15E-07	3.80E-08
50	119	69	3.76E-07	1.24E-07
51	119	68	1.62E-11	5.38E-12
51	119	68	5.11E-11	1.69E-11
44	120	76	2.08E-12	7.17E-13
45	120	75	3.31E-08	1.14E-08
46	120	74	2.51E-05	8.60E-06
47	120	73	2.67E-04	7.91E-05
47	120	73	3.79E-04	1.12E-04
48	120	72	0.001368	2.61E-04
49	120	71	7.11E-05	2.11E-05
49	120	71	7.11E-05	2.11E-05
49	120	71	7.11E-05	2.11E-05
50	120	70	1.45E-06	4.99E-07
51	120	69	1.70E-10	5.87E-11
51	120	69	2.42E-10	8.32E-11
46	121	75	8.97E-08	3.41E-08
47	121	74	1.19E-04	4.34E-05
48	121	73	2.42E-04	4.71E-05
48	121	73	5.83E-04	1.14E-04
49	121	72	2.26E-05	7.73E-06
49	121	72	9.79E-05	3.34E-05
50	121	71	2.83E-08	1.08E-08
50	121	71	6.84E-08	2.60E-08
46	122	76	4.47E-08	1.77E-08
47	122	75	2.23E-05	8.41E-06
47	122	75	2.48E-05	9.33E-06
48	122	74	3.68E-04	6.03E-05
49	122	73	1.51E-05	5.48E-06
49	122	73	1.51E-05	5.48E-06
49	122	73	2.13E-05	7.72E-06
50	122	72	4.20E-08	1.66E-08
46	123	77	1.89E-08	7.63E-09
47	123	76	2.51E-05	9.54E-06
